id,user,total_class_count,covered_class_count,total_method_count,covered_method_count,total_line_count,covered_line_count,total_branch_count,covered_branch_count,tested_class,test_name,game_mode,created_at
124,88a83dd8-0ea0-41ad-93ca-d397d796fb37,1,1,11,4,22,4,8,0,be.thibber.gamification.vehicle.Car,CarTest,1,2025-04-17 07:59:36.262336
125,88a83dd8-0ea0-41ad-93ca-d397d796fb37,1,1,11,4,22,4,8,0,be.thibber.gamification.vehicle.Car,CarTest,1,2025-04-17 07:59:44.864149
126,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,11,7,24,13,12,4,be.thibber.gamification.vehicle.Car,CarTest.addPassenger,0,2025-04-17 07:59:54.742250
127,88a83dd8-0ea0-41ad-93ca-d397d796fb37,1,1,11,4,22,4,8,0,be.thibber.gamification.vehicle.Car,CarTest,1,2025-04-17 07:59:54.760589
128,88a83dd8-0ea0-41ad-93ca-d397d796fb37,1,1,11,4,22,4,8,0,be.thibber.gamification.vehicle.Car,CarTest,1,2025-04-17 08:00:03.941445
129,88a83dd8-0ea0-41ad-93ca-d397d796fb37,1,1,11,4,22,4,8,0,be.thibber.gamification.vehicle.Car,CarTest,1,2025-04-17 08:00:20.523820
130,88a83dd8-0ea0-41ad-93ca-d397d796fb37,1,1,11,4,22,4,8,0,be.thibber.gamification.vehicle.Car,CarTest,1,2025-04-17 08:00:28.422313
131,88a83dd8-0ea0-41ad-93ca-d397d796fb37,1,1,11,4,22,4,8,0,be.thibber.gamification.vehicle.Car,CarTest,1,2025-04-17 08:00:34.569004
132,88a83dd8-0ea0-41ad-93ca-d397d796fb37,1,1,11,4,22,4,8,0,be.thibber.gamification.vehicle.Car,CarTest,1,2025-04-17 08:00:40.781017
133,11b1644a-d11f-45cb-8a40-282a209059c0,1,1,11,9,21,16,6,4,be.thibber.gamification.vehicle.Car,CarTest,0,2025-04-17 08:00:47.736261
134,eed81e54-2343-44af-ab2f-cd062db7e11a,1,1,6,2,8,4,0,0,be.thibber.gamification.Road,RoadTest.constructor,1,2025-04-17 08:00:52.730888
135,d65a1736-2d35-44e8-bf24-d1fd976c741f,1,1,10,3,32,11,16,3,be.thibber.gamification.City,CityTest.testParkingUsagePercentage,0,2025-04-17 08:01:42.335159
138,eed81e54-2343-44af-ab2f-cd062db7e11a,1,1,6,4,8,6,0,0,be.thibber.gamification.Road,RoadTest,1,2025-04-17 08:02:28.672861
